step,tasks_completed_total,total_movement_cost,deadlock_count,last_step_cpu_ms,total_cpu_ms,last_planning_ms,total_planning_ms,algo_nodes_expanded_last,algo_heap_moves_last,algo_generated_nodes_last,algo_valid_expansions_last,requests_created_total,request_wait_ticks_sum
189,14,325.000000,21,0.000000,96.000000,0.000000,94.000000,6,12,6,0,0,0
190,14,327.000000,21,0.000000,96.000000,0.000000,94.000000,7,16,7,0,0,0
191,14,329.000000,21,0.000000,96.000000,0.000000,94.000000,8,20,8,0,0,0
192,14,332.000000,21,0.000000,96.000000,0.000000,94.000000,9,24,9,0,0,0
193,14,334.000000,21,0.000000,96.000000,0.000000,94.000000,10,26,10,0,0,0
194,14,336.000000,21,0.000000,96.000000,0.000000,94.000000,11,30,11,0,0,0
195,14,339.000000,21,0.000000,96.000000,0.000000,94.000000,14,42,16,1,0,0
196,14,340.000000,21,1.000000,97.000000,1.000000,95.000000,14,44,16,1,0,0
197,14,340.000000,22,5.000000,102.000000,5.000000,100.000000,47,260,87,47,0,0
198,14,342.000000,22,0.000000,102.000000,0.000000,100.000000,0,0,0,0,0,0
199,14,344.000000,22,1.000000,103.000000,0.000000,100.000000,0,0,0,0,0,0
200,14,346.000000,22,0.000000,103.000000,0.000000,100.000000,0,0,0,0,0,0
201,14,347.000000,22,0.000000,103.000000,0.000000,100.000000,0,0,0,0,0,0
202,14,348.000000,22,0.000000,103.000000,0.000000,100.000000,0,0,0,0,0,0
203,14,350.000000,22,0.000000,103.000000,0.000000,100.000000,0,0,0,0,0,0
204,14,352.000000,22,0.000000,103.000000,0.000000,100.000000,0,0,0,0,0,0
205,14,354.000000,22,0.000000,103.000000,0.000000,100.000000,0,0,0,0,0,0
206,14,356.000000,22,0.000000,103.000000,0.000000,100.000000,0,0,0,0,0,0
207,14,358.000000,22,0.000000,103.000000,0.000000,100.000000,8,26,8,0,0,0
208,15,360.000000,22,0.000000,103.000000,0.000000,100.000000,16,56,16,0,0,0
209,15,363.000000,22,0.000000,103.000000,0.000000,100.000000,47,195,81,39,0,0
210,15,366.000000,22,1.000000,104.000000,1.000000,101.000000,9,24,9,0,0,0
211,15,368.000000,22,0.000000,104.000000,0.000000,101.000000,10,29,10,0,0,0
212,15,370.000000,22,0.000000,104.000000,0.000000,101.000000,11,34,11,0,0,0
213,15,373.000000,22,0.000000,104.000000,0.000000,101.000000,12,36,12,0,0,0
214,15,376.000000,22,0.000000,104.000000,0.000000,101.000000,13,42,13,0,0,0
215,15,379.000000,22,0.000000,104.000000,0.000000,101.000000,17,56,19,1,0,0
216,15,382.000000,22,0.000000,104.000000,0.000000,101.000000,20,70,22,1,0,0
217,15,384.000000,22,0.000000,104.000000,0.000000,101.000000,20,73,22,1,0,0
218,15,385.000000,22,0.000000,104.000000,0.000000,101.000000,0,0,0,0,0,0
219,15,388.000000,22,0.000000,104.000000,0.000000,101.000000,0,0,0,0,0,0
220,15,390.000000,22,0.000000,104.000000,0.000000,101.000000,0,0,0,0,0,0
221,15,392.000000,22,0.000000,104.000000,0.000000,101.000000,0,0,0,0,0,0
222,15,394.000000,22,1.000000,105.000000,1.000000,102.000000,0,0,0,0,0,0
223,15,396.000000,22,0.000000,105.000000,0.000000,102.000000,0,0,0,0,0,0
224,15,398.000000,22,0.000000,105.000000,0.000000,102.000000,0,0,0,0,0,0
225,15,399.000000,22,5.000000,110.000000,5.000000,107.000000,35,279,86,35,0,0
226,15,400.000000,22,0.000000,110.000000,0.000000,107.000000,0,0,0,0,0,0
227,15,402.000000,22,0.000000,110.000000,0.000000,107.000000,0,0,0,0,0,0
228,15,403.000000,22,0.000000,110.000000,0.000000,107.000000,0,0,0,0,0,0
229,16,404.000000,22,0.000000,110.000000,0.000000,107.000000,0,0,0,0,0,0
230,16,407.000000,22,0.000000,110.000000,0.000000,107.000000,50,216,92,49,0,0
231,16,410.000000,22,0.000000,110.000000,0.000000,107.000000,0,0,0,0,0,0
232,16,412.000000,22,1.000000,111.000000,1.000000,108.000000,5,19,5,0,0,0
233,16,414.000000,22,0.000000,111.000000,0.000000,108.000000,20,78,20,0,0,0
234,16,417.000000,22,0.000000,111.000000,0.000000,108.000000,6,16,6,0,0,0
235,16,420.000000,22,0.000000,111.000000,0.000000,108.000000,7,21,7,0,0,0
236,16,423.000000,22,0.000000,111.000000,0.000000,108.000000,8,24,8,0,0,0
237,16,426.000000,22,0.000000,111.000000,0.000000,108.000000,9,30,9,0,0,0
238,16,429.000000,22,0.000000,111.000000,0.000000,108.000000,10,33,10,0,0,0
239,16,432.000000,22,0.000000,111.000000,0.000000,108.000000,11,39,11,0,0,0
240,16,435.000000,22,0.000000,111.000000,0.000000,108.000000,12,42,12,0,0,0
241,16,438.000000,22,0.000000,111.000000,0.000000,108.000000,14,54,14,0,0,0
242,16,441.000000,22,0.000000,111.000000,0.000000,108.000000,16,60,16,0,0,0
243,16,444.000000,22,1.000000,112.000000,1.000000,109.000000,18,68,18,0,0,0
244,16,447.000000,22,0.000000,112.000000,0.000000,109.000000,19,70,19,0,0,0
245,16,449.000000,22,0.000000,112.000000,0.000000,109.000000,23,84,25,1,0,0
246,16,449.000000,23,0.000000,112.000000,0.000000,109.000000,0,0,0,0,0,0
